CHROMATOGRAM,
GC27_1.raw,
Data points: 42010,
Time,Intensity
1.88,4451
1.881667,4449
1.883333,4445
1.885,4443
1.886667,4441
1.888333,4441
1.89,4441
1.891667,4442
1.893333,4443
1.895,4446
1.896667,4446
1.898333,4444
1.9,4444
1.901667,4444
1.903333,4444
1.905,4444
1.906667,4442
1.908333,4442
1.91,4441
1.911667,4439
1.913333,4438
1.915,4437
1.916667,4439
1.918333,4440
1.92,4441
1.921667,4440
1.923333,4437
1.925,4439
1.926667,4438
1.928333,4439
1.93,4440
1.931667,4440
1.933333,4442
1.935,4444
1.936667,4444
1.938333,4445
1.94,4445
1.941667,4445
1.943333,4443
1.945,4444
1.946667,4446
1.948333,4447
1.95,4449
1.951667,4450
1.953333,4450
1.955,4452
1.956667,4450
1.958333,4446
1.96,4443
1.961667,4443
1.963333,4444
1.965,4444
1.966667,4445
1.968333,4446
1.97,4447
1.971667,4447
1.973333,4444
1.975,4443
1.976667,4442
1.978333,4443
1.98,4443
1.981667,4442
1.983333,4444
1.985,4443
1.986667,4442
1.988333,4442
1.99,4441
1.991667,4440
1.993333,4440
1.995,4440
1.996667,4439
1.998333,4437
2,4437
2.001667,4433
2.003333,4433
2.005,4436
2.006667,4437
2.008333,4436
2.01,4438
2.011667,4440
2.013333,4443
2.015,4443
2.016667,4445
2.018333,4444
2.02,4444
2.021667,4444
2.023333,4443
2.025,4440
2.026667,4438
2.028333,4439
2.03,4440
2.031667,4439
2.033333,4443
2.035,4444
2.036667,4443
2.038333,4440
2.04,4439
2.041667,4439
2.043333,4438
2.045,4440
2.046667,4440
2.048333,4440
2.05,4442
2.051667,4442
2.053333,4441
2.055,4440
2.056667,4442
2.058333,4443
2.06,4444
2.061667,4446
2.063333,4446
2.065,4446
2.066667,4447
2.068333,4446
2.07,4445
2.071667,4445
2.073333,4443
2.075,4442
2.076667,4440
2.078333,4442
2.08,4444
2.081667,4444
2.083333,4445
2.085,4447
2.086667,4446
2.088333,4446
2.09,4442
2.091667,4439
2.093333,4438
2.095,4439
2.096667,4438
2.098333,4437
2.1,4439
2.101667,4441
2.103333,4443
2.105,4443
2.106667,4443
2.108333,4443
2.11,4445
2.111667,4445
2.113333,4444
2.115,4444
2.116667,4441
2.118333,4441
2.12,4444
2.121667,4445
2.123333,4445
2.125,4444
2.126667,4446
2.128333,4447
2.13,4448
2.131667,4446
2.133333,4443
2.135,4443
2.136667,4443
2.138333,4440
2.14,4438
2.141667,4440
2.143333,4442
2.145,4443
2.146667,4443
2.148333,4442
2.15,4442
2.151667,4441
2.153333,4439
2.155,4437
2.156667,4439
2.158333,4443
2.16,4444
2.161667,4445
2.163333,4445
2.165,4445
2.166667,4447
2.168333,4447
2.17,4446
2.171667,4448
2.173333,4450
2.175,4451
2.176667,4450
2.178333,4448
2.18,4448
2.181667,4450
2.183333,4452
2.185,4451
2.186667,4452
2.188333,4454
2.19,4455
2.191667,4453
2.193333,4450
2.195,4448
2.196667,4448
2.198333,4449
2.2,4449
2.201667,4449
2.203333,4449
2.205,4450
2.206667,4452
2.208333,4454
2.21,4457
2.211667,4457
2.213333,4458
2.215,4458
2.216667,4457
2.218333,4457
2.22,4455
2.221667,4453
2.223333,4450
2.225,4450
2.226667,4451
2.228333,4450
2.23,4450
2.231667,4451
2.233333,4452
2.235,4456
2.236667,4455
2.238333,4451
2.24,4449
2.241667,4448
2.243333,4447
2.245,4445
2.246667,4444
2.248333,4444
2.25,4444
2.251667,4448
2.253333,4451
2.255,4454
2.256667,4457
2.258333,4458
2.26,4458
2.261667,4457
